country,country_code,Total
United States,USA,121
Great Britain,GBR,67
China,CHN,70
Russia,RUS,56
Germany,DEU,42
Japan,JPN,41
France,FRA,42
South Korea,KOR,21
Italy,ITA,28
Australia,AUS,29
Netherlands,NLD,19
Hungary,HUN,15
Brazil,BRA,19
Spain,ESP,17
Kenya,KEN,13
Jamaica,JAM,11
Croatia,HRV,10
Cuba,CUB,11
New Zealand,NZL,18
Canada,CAN,22
Uzbekistan,UZB,13
Colombia,COL,8
Switzerland,CHE,7
Iran,IRN,8
Greece,GRC,6
Argentina,ARG,4
Denmark,DNK,15
Sweden,SWE,11
South Africa,ZAF,10
Kazakhstan,KAZ,17
Ukraine,UKR,11
Serbia,SRB,8
Poland,POL,11
North Korea,PRK,7
Belgium,BEL,6
Thailand,THA,6
Slovakia,SVK,4
Georgia,GEO,7
Azerbaijan,AZE,18
Belarus,BLR,9
Turkey,TUR,8
Armenia,ARM,4
Czech Republic,CZE,10
Ethiopia,ETH,8
Slovenia,SVN,4
Indonesia,IDN,3
Romania,ROU,4
Bahrain,BRN,2
Vietnam,VNM,2
Chinese Taipei,TPE,3
Bahamas,BHS,2
Ivory Coast,CIV,2
Fiji,FJI,1
Jordan,JOR,1
Kosovo,XKX,1
Puerto Rico,PRI,1
Singapore,SGP,1
Tajikistan,TJK,1
Malaysia,MYS,5
Mexico,MEX,5
Venezuela,VEN,3
Algeria,DZA,2
Ireland,IRL,2
Lithuania,LTU,4
Bulgaria,BGR,3
India,IND,2
Mongolia,MNG,2
Burundi,BDI,1
Grenada,GRD,1
Niger,NER,1
Philippines,PHL,1
Qatar,QAT,1
Norway,NOR,4
Egypt,EGY,3
Tunisia,TUN,3
Israel,ISR,2
Austria,AUT,1
Dominican Republic,DOM,1
Estonia,EST,1
Finland,FIN,1
Morocco,MAR,1
Nigeria,NGA,1
Portugal,PRT,1
Trinidad and Tobago,TTO,1
United Arab Emirates,ARE,1
